Date,Open,High,Low,Close,Volume,Adj Close  
2015-04-02,125.03,125.56,124.19,125.32,32120700,125.32  
2015-04-01,124.82,125.12,123.10,124.25,40359200,124.25  
2015-03-31,126.09,126.49,124.36,124.43,41852400,124.43
